Metro,Date,ZORI,ZHVI,Income,Population,AffordabilityRatio
"Colorado Springs, CO",2015-09-30,1097.870338819368,244835.0915243133,89792.0,768832.0,2.7266915930630042
"Boulder, CO",2015-09-30,1582.1024266413206,430961.902458185,95363.0,326831.0,4.519173080316108
"Pueblo, CO",2015-09-30,795.7430629339409,134489.06463694395,65161.0,169422.0,2.0639502867811106
"Grand Junction, CO",2015-09-30,900.0953160134724,209227.14804951337,64722.0,159681.0,3.2327052323709617
"Colorado Springs, CO",2015-10-31,1101.3133935008882,246505.32291351483,89792.0,768832.0,2.7452927088550743
"Boulder, CO",2015-10-31,1578.54422253854,436790.3852717076,95363.0,326831.0,4.580291992404891
"Pueblo, CO",2015-10-31,795.5773971367215,135609.51409644607,65161.0,169422.0,2.0811453798506174
"Grand Junction, CO",2015-10-31,901.3726703502088,209953.998616758,64722.0,159681.0,3.243935580123575
"Colorado Springs, CO",2015-11-30,1103.5256242223504,248151.63404005265,89792.0,768832.0,2.7636274282792748
"Boulder, CO",2015-11-30,1567.4810596345314,442483.8532671896,95363.0,326831.0,4.639995105724333
"Pueblo, CO",2015-11-30,802.7104541038824,136638.41719631036,65161.0,169422.0,2.0969355472799736
"Grand Junction, CO",2015-11-30,905.0491820775804,210747.6170697572,64722.0,159681.0,3.256197538236723
"Colorado Springs, CO",2015-12-31,1105.525520709017,249914.69502163585,89792.0,768832.0,2.78326237328087
"Boulder, CO",2015-12-31,1564.9751143867122,447716.7613763415,95363.0,326831.0,4.6948686741853916
"Pueblo, CO",2015-12-31,796.2413394571187,137796.76370480563,65161.0,169422.0,2.1147122313163647
"Grand Junction, CO",2015-12-31,897.7201805143654,211658.92631963216,64722.0,159681.0,3.2702779011716596
"Colorado Springs, CO",2016-01-31,1106.660792331868,251639.3171503117,89792.0,768832.0,2.8024692305585317
"Boulder, CO",2016-01-31,1575.5881453469967,453637.1139336412,95363.0,326831.0,4.7569509551255855
"Pueblo, CO",2016-01-31,794.7717551571283,138884.04054535864,65161.0,169422.0,2.131398237371413
"Grand Junction, CO",2016-01-31,896.711579626316,213004.8630974271,64722.0,159681.0,3.2910735622729073
"Colorado Springs, CO",2016-02-29,1110.6709691071687,253317.25641766688,89792.0,768832.0,2.8211561878303955
"Boulder, CO",2016-02-29,1583.3441533310452,459090.38470864686,95363.0,326831.0,4.814135300993539
"Pueblo, CO",2016-02-29,793.0444016205699,139965.3570592157,65161.0,169422.0,2.147992772658733
"Grand Junction, CO",2016-02-29,894.5385638101418,214398.90522673447,64722.0,159681.0,3.312612484576102
"Colorado Springs, CO",2016-03-31,1119.241296962027,254939.8494551461,89792.0,768832.0,2.8392267624637615
"Boulder, CO",2016-03-31,1610.1859912779871,464309.76137167495,95363.0,326831.0,4.868866975364397
"Pueblo, CO",2016-03-31,796.9610358702906,140940.60078959283,65161.0,169422.0,2.162959451045761
"Grand Junction, CO",2016-03-31,906.145223811316,215637.4375846401,64722.0,159681.0,3.3317486725478216
"Colorado Springs, CO",2016-04-30,1134.42195161246,256765.80416896744,89792.0,768832.0,2.8595621455025775
"Boulder, CO",2016-04-30,1618.7053496696342,469527.4728933373,95363.0,326831.0,4.923581188651126
"Pueblo, CO",2016-04-30,806.8693727634535,141894.24472319722,65161.0,169422.0,2.1775946459262014
"Grand Junction, CO",2016-04-30,914.5284970615808,216852.3446115616,64722.0,159681.0,3.350519832693081
