Metro,Date,ZHVI
"Glenwood Springs, CO",2002-05-31,237744.641491881
"Edwards, CO",2002-05-31,343700.03689219547
"Durango, CO",2002-05-31,
"Ca-¦on City, CO",2002-05-31,
"Montrose, CO",2002-05-31,144264.18943057873
"Breckenridge, CO",2002-05-31,
"Fort Morgan, CO",2002-05-31,
"Steamboat Springs, CO",2002-05-31,271192.07631988573
"Sterling, CO",2002-05-31,104268.9284838796
"Craig, CO",2002-05-31,114968.29936114915
"Denver, CO",2002-06-30,245053.04789439947
"Colorado Springs, CO",2002-06-30,194515.64807210103
"Fort Collins, CO",2002-06-30,239558.37979725903
"Boulder, CO",2002-06-30,304911.46503732546
"Greeley, CO",2002-06-30,209764.5568837901
"Pueblo, CO",2002-06-30,115563.93294846172
"Grand Junction, CO",2002-06-30,156472.77108592665
"Glenwood Springs, CO",2002-06-30,238600.59398834623
"Edwards, CO",2002-06-30,343596.27597666543
"Durango, CO",2002-06-30,
"Ca-¦on City, CO",2002-06-30,
"Montrose, CO",2002-06-30,144690.04330424944
"Breckenridge, CO",2002-06-30,
"Fort Morgan, CO",2002-06-30,
"Steamboat Springs, CO",2002-06-30,272542.02766121406
"Sterling, CO",2002-06-30,104475.61282578968
"Craig, CO",2002-06-30,115958.77012100432
"Denver, CO",2002-07-31,245797.08948135143
"Colorado Springs, CO",2002-07-31,195284.07400791373
"Fort Collins, CO",2002-07-31,240686.78012763325
"Boulder, CO",2002-07-31,305061.8472135134
"Greeley, CO",2002-07-31,210806.6697102481
"Pueblo, CO",2002-07-31,116114.46254301524
"Grand Junction, CO",2002-07-31,157354.5693579751
"Glenwood Springs, CO",2002-07-31,239617.2947751796
"Edwards, CO",2002-07-31,343371.0386158487
"Durango, CO",2002-07-31,
"Ca-¦on City, CO",2002-07-31,
"Montrose, CO",2002-07-31,145086.00588628562
"Breckenridge, CO",2002-07-31,
"Fort Morgan, CO",2002-07-31,
"Steamboat Springs, CO",2002-07-31,273927.262425812
"Sterling, CO",2002-07-31,104633.96616856167
"Craig, CO",2002-07-31,117083.4394017944
"Denver, CO",2002-08-31,246219.41369955955
"Colorado Springs, CO",2002-08-31,195984.08502539463
"Fort Collins, CO",2002-08-31,241815.5295973378
"Boulder, CO",2002-08-31,304292.10847972776
"Greeley, CO",2002-08-31,211774.8420390185
"Pueblo, CO",2002-08-31,116659.80205003596
"Grand Junction, CO",2002-08-31,158353.39524978257
"Glenwood Springs, CO",2002-08-31,240813.6017119322
"Edwards, CO",2002-08-31,343816.6506529757
"Durango, CO",2002-08-31,
"Ca-¦on City, CO",2002-08-31,
"Montrose, CO",2002-08-31,145525.82741966416
"Breckenridge, CO",2002-08-31,
"Fort Morgan, CO",2002-08-31,
"Steamboat Springs, CO",2002-08-31,275073.0974754034
"Sterling, CO",2002-08-31,104726.48250362072
"Craig, CO",2002-08-31,117963.43519570369
"Denver, CO",2002-09-30,246666.81521353128
"Colorado Springs, CO",2002-09-30,196732.7018567275
"Fort Collins, CO",2002-09-30,242897.52516783777
"Boulder, CO",2002-09-30,303885.81602849107
"Greeley, CO",2002-09-30,212732.59922392844
"Pueblo, CO",2002-09-30,117060.94868058238
"Grand Junction, CO",2002-09-30,159585.20807847634
"Glenwood Springs, CO",2002-09-30,242325.81822287387
"Edwards, CO",2002-09-30,344852.3649406435
"Durango, CO",2002-09-30,
"Ca-¦on City, CO",2002-09-30,
"Montrose, CO",2002-09-30,145895.6839685892
"Breckenridge, CO",2002-09-30,
"Fort Morgan, CO",2002-09-30,
"Steamboat Springs, CO",2002-09-30,275958.3786551026
