Metro,Date,ZORI
"Pueblo, CO",2018-02-28,883.8946957921977
"Grand Junction, CO",2018-02-28,988.6748140120144
"Glenwood Springs, CO",2018-02-28,1900.759704371698
"Edwards, CO",2018-02-28,
"Durango, CO",2018-02-28,
"Ca-¦on City, CO",2018-02-28,
"Montrose, CO",2018-02-28,
"Breckenridge, CO",2018-02-28,
"Steamboat Springs, CO",2018-02-28,
"Sterling, CO",2018-02-28,
"Denver, CO",2018-03-31,1503.0978581425152
"Colorado Springs, CO",2018-03-31,1292.591357308066
"Fort Collins, CO",2018-03-31,1441.5839829432248
"Boulder, CO",2018-03-31,1711.8925491242676
"Greeley, CO",2018-03-31,1495.0555783185443
"Pueblo, CO",2018-03-31,900.2972828140057
"Grand Junction, CO",2018-03-31,1006.6423385490284
"Glenwood Springs, CO",2018-03-31,1919.3861852104317
"Edwards, CO",2018-03-31,
"Durango, CO",2018-03-31,
"Ca-¦on City, CO",2018-03-31,
"Montrose, CO",2018-03-31,
"Breckenridge, CO",2018-03-31,
"Steamboat Springs, CO",2018-03-31,
"Sterling, CO",2018-03-31,
"Denver, CO",2018-04-30,1515.7947335955184
"Colorado Springs, CO",2018-04-30,1298.8397203336049
"Fort Collins, CO",2018-04-30,1451.7212857497664
"Boulder, CO",2018-04-30,1727.1477264964096
"Greeley, CO",2018-04-30,1511.3459259465062
"Pueblo, CO",2018-04-30,900.82544427238
"Grand Junction, CO",2018-04-30,1015.0928967092108
"Glenwood Springs, CO",2018-04-30,1955.2822549381008
"Edwards, CO",2018-04-30,
"Durango, CO",2018-04-30,
"Ca-¦on City, CO",2018-04-30,
"Montrose, CO",2018-04-30,
"Breckenridge, CO",2018-04-30,
"Steamboat Springs, CO",2018-04-30,
"Sterling, CO",2018-04-30,
"Denver, CO",2018-05-31,1524.9216547956505
"Colorado Springs, CO",2018-05-31,1308.795247923404
"Fort Collins, CO",2018-05-31,1460.6336532425246
"Boulder, CO",2018-05-31,1738.0163929223029
"Greeley, CO",2018-05-31,1511.6796605763698
"Pueblo, CO",2018-05-31,905.9028392572208
"Grand Junction, CO",2018-05-31,1026.4617555933244
"Glenwood Springs, CO",2018-05-31,1941.9796285075784
"Edwards, CO",2018-05-31,
"Durango, CO",2018-05-31,
"Ca-¦on City, CO",2018-05-31,
"Montrose, CO",2018-05-31,
"Breckenridge, CO",2018-05-31,
"Steamboat Springs, CO",2018-05-31,
"Sterling, CO",2018-05-31,
"Denver, CO",2018-06-30,1534.228983191525
"Colorado Springs, CO",2018-06-30,1311.8792590424232
"Fort Collins, CO",2018-06-30,1465.714026580892
"Boulder, CO",2018-06-30,1751.2574011616696
"Greeley, CO",2018-06-30,1506.512287829788
"Pueblo, CO",2018-06-30,912.0828869087962
"Grand Junction, CO",2018-06-30,1030.118067275436
"Glenwood Springs, CO",2018-06-30,1948.9609463267216
"Edwards, CO",2018-06-30,
"Durango, CO",2018-06-30,
"Ca-¦on City, CO",2018-06-30,
"Montrose, CO",2018-06-30,
"Breckenridge, CO",2018-06-30,
"Steamboat Springs, CO",2018-06-30,
"Sterling, CO",2018-06-30,
